550.28,250.26,571.28,249.71,572.72,304.69,551.72,305.24
548.49,244.99,566.71,239.59,578.63,279.86,560.42,285.26
557.53,277.71,558.48,241.72,579.47,242.27,578.52,278.26
556.47,285.64,557.54,244.65,584.53,245.36,583.46,286.35
558.35,255.32,582.34,254.69,583.65,304.68,559.66,305.31
550.07,274.91,574.57,269.93,581.35,303.25,556.85,308.23
535.73,281.85,566.56,278.61,569.7,308.44,538.87,311.68
522.77,284.53,552.06,278.04,559.2,310.25,529.91,316.75
507.37,282.81,539.19,279.47,542.74,313.28,510.92,316.63
495.72,282.5,532.71,281.53,533.47,310.52,496.48,311.49
491.05,279.75,523.69,274.87,528.12,304.54,495.48,309.42
483.67,279.61,518.08,273.24,523.55,302.73,489.13,309.11
474.84,294.49,508.23,276.35,521.59,300.96,488.2,319.09
463.95,280.94,511.36,273.43,516.36,305.04,468.95,312.55
451.41,287.77,506.93,280.46,510.59,308.23,455.07,315.54
455.84,282.37,508.63,277.75,510.99,304.64,458.19,309.26
452.27,286.07,500.67,278.41,504.89,305.07,456.5,312.74
437.96,269.37,465.77,261.13,478.83,305.24,451.03,313.48
413.31,272.99,429.14,252.36,486.26,296.19,470.43,316.82
397.11,278.91,406.21,240.99,463.58,254.76,454.48,292.68
388.56,253.3,444.38,248.9,447.44,287.78,391.62,292.18
364.04,289.01,409.6,242.65,442.41,274.89,396.85,321.26
367.74,305.14,425.28,267.06,449.01,302.92,391.48,341.0
367.66,294.86,432.63,293.15,433.37,321.14,368.39,322.85
358.55,295.58,430.49,292.44,431.62,318.42,359.69,321.56
330.1,299.36,403.82,292.91,406.35,321.8,332.63,328.25
317.63,295.55,383.62,294.4,384.35,336.39,318.36,337.55
291.16,301.06,368.06,297.04,370.05,334.98,293.15,339.01
266.88,329.51,272.99,293.01,335.13,303.41,329.02,339.9
245.71,335.27,250.01,297.51,330.49,306.68,326.19,344.44
224.72,341.31,225.29,308.31,304.28,309.69,303.71,342.69
211.55,313.73,267.53,312.26,268.48,348.25,212.49,349.71
198.71,322.54,260.7,321.46,261.27,354.46,199.28,355.54
192.67,354.33,197.55,321.7,244.03,328.64,239.16,361.28
186.28,352.94,203.87,311.51,235.16,324.8,217.58,366.22
185.08,354.58,200.53,319.86,227.02,331.66,211.57,366.37
184.33,345.63,210.26,319.24,227.38,336.07,201.45,362.46
185.33,343.05,214.56,308.84,232.81,324.42,203.58,358.64
196.67,328.94,230.86,298.15,252.27,321.94,218.08,352.72
208.45,326.48,244.94,298.48,260.16,318.31,223.67,346.31
224.71,317.64,270.89,301.29,279.91,326.74,233.72,343.09
243.07,302.62,286.27,294.22,292.75,327.59,249.56,335.99
263.58,298.6,306.56,297.47,307.4,329.46,264.41,330.58
276.77,324.11,279.39,294.23,323.22,298.06,320.61,327.95
301.67,315.53,318.52,271.65,347.46,282.76,330.62,326.63
305.61,304.12,352.68,265.32,370.49,286.92,323.42,325.73
325.16,276.05,371.76,260.91,379.79,285.64,333.19,300.78
349.37,281.1,354.58,251.55,394.95,258.67,389.74,288.21
351.42,268.74,365.26,250.37,408.39,282.87,394.55,301.24
367.73,278.88,381.71,258.15,431.45,291.7,417.47,312.43
390.48,294.99,444.38,284.03,450.16,312.45,396.26,323.41
405.88,297.94,463.39,290.37,466.39,313.17,408.88,320.74
418.67,289.84,481.65,288.19,482.3,313.18,419.32,314.83
438.82,300.99,488.04,276.45,498.75,297.93,449.53,322.47
449.46,292.69,501.5,278.26,507.64,300.43,455.61,314.86
463.25,305.4,464.79,283.46,508.68,286.52,507.14,308.47
468.0,282.41,494.14,265.75,511.87,293.58,485.73,310.24
462.16,291.45,478.37,273.76,503.44,296.73,487.23,314.42
446.28,304.48,447.75,280.53,494.66,283.39,493.19,307.35
437.12,302.46,441.46,277.84,489.72,286.35,485.38,310.97
415.52,303.72,416.8,282.76,488.67,287.16,487.38,308.12
415.0,279.0,467.0,279.0,467.0,311.0,415.0,311.0
398.75,283.5,457.74,282.47,458.25,311.46,399.26,312.5
370.37,312.99,371.94,283.04,446.84,286.96,445.27,316.92
354.57,311.8,360.3,279.3,415.45,289.03,409.72,321.52
330.44,308.85,336.25,285.56,408.05,303.46,402.24,326.75
307.02,322.29,310.93,290.53,384.37,299.55,380.47,331.31
293.42,326.9,296.7,298.09,349.36,304.09,346.07,332.9
265.25,327.81,266.76,298.85,348.65,303.14,347.13,332.1
246.62,334.21,247.35,306.22,306.33,307.76,305.6,335.75
227.72,332.33,228.26,301.33,306.25,302.69,305.71,333.69
213.34,326.58,219.45,295.17,282.27,307.38,276.17,338.79
204.23,309.85,212.4,275.82,293.11,295.19,284.94,329.22
212.37,285.0,217.99,258.59,279.61,271.69,274.0,298.1
193.98,276.42,204.66,246.26,274.41,270.96,263.73,301.12
207.01,249.44,220.01,226.93,279.76,261.43,266.76,283.94
218.1,221.73,237.32,200.01,297.24,253.02,278.02,274.74
218.34,225.88,230.78,198.58,311.76,235.49,299.32,262.79
229.2,215.39,244.82,184.06,307.46,215.3,291.85,246.62
220.61,201.56,237.02,162.9,324.47,200.02,308.06,238.68
218.9,191.02,236.22,153.87,312.35,189.37,295.02,226.52
223.42,176.03,239.37,139.35,310.9,170.45,294.95,207.13
213.88,154.53,232.19,120.1,309.01,160.94,290.7,195.38
216.83,148.72,234.8,111.87,304.91,146.06,286.94,182.91
219.74,162.03,222.04,118.09,293.95,121.86,291.64,165.8
211.7,168.43,214.33,125.5,297.17,130.57,294.55,173.49
220.01,174.52,221.97,129.56,288.91,132.48,286.94,177.44
